100,03	10000
200,13	20000
100,09	30000
100,01	40000
100,09	50000
100,12	60000
200,1	70000
100,09	80000
100,12	90000
200,19	100000
200,17	110000
200,2	120000
100,11	130000
0	140000
100,1	150000
100,09	160000
100,1	170000
100,1	180000
100,08	190000
100,09	200000
0	210000
200,2	220000
200,14	230000
100,07	240000
200,17	250000
200,2	260000
100,08	270000
200,19	280000
100,05	290000
0	300000
100,06	310000
100,12	320000
100,06	330000
0	340000
100,03	350000
100,1	360000
100,12	370000
200,16	380000
102,97	390000
100,08	400000
100,07	410000
100,06	420000
200,18	430000
200,16	440000
200,15	450000
100,02	460000
100,11	470000
100,06	480000
100,07	490000
100,1	500000
100,06	510000
200,15	520000
100,09	530000
200,19	540000
100,08	550000
100,1	560000
100,09	570000
200,17	580000
200,15	590000
0	600000
