100,11	10000
100,08	20000
100,1	30000
100,1	40000
100,09	50000
0	60000
100,08	70000
0	80000
100,07	90000
100,07	100000
100,07	110000
0	120000
100,08	130000
0	140000
100,09	150000
0	160000
0	170000
0	180000
100,07	190000
100,08	200000
0	210000
100,1	220000
100,09	230000
100,08	240000
0	250000
100,1	260000
100,11	270000
0	280000
0	290000
0	300000
100,09	310000
0	320000
100,1	330000
100,08	340000
100,04	350000
0	360000
0	370000
100,1	380000
100,09	390000
0	400000
100,13	410000
100,06	420000
100,09	430000
0	440000
0	450000
0	460000
0	470000
0	480000
0	490000
100,27	500000
0	510000
100,09	520000
0	530000
100,09	540000
100,13	550000
100,1	560000
0	570000
0	580000
0	590000
100,1	600000
